Date,Bank of America Corp,Boeing Co/The,Simon Property Group LP,Citigroup Inc,JPMorgan Chase & Co,International Business Machines Corp,Motorola Solutions Inc,Caterpillar Inc,Nestle SA (EUR),McDonald's Corp
20071225,29.653,13.429877153370857,25.835000000000324,44.151,29.577,12.812532524308722,20.824507538042344,13.80497526814897,9.833000000000029,16.568184697820662
20071226,29.587,13.534286751699636,26.042999999999864,43.986,29.313,13.215782435056038,20.12021367479722,14.126367257101501,6.609000000000005,17.536554279327753
20071227,29.917,14.03920061846407,25.52600000000009,44.118,29.445,12.704097713293256,20.159891012776093,13.817020502455742,17.112,17.25932513207626
20071228,30.61,14.667000000000117,25.33300000000028,45.306,29.544,13.86900000000012,22.26800000000016,15.080000000000345,17.079,19.606000000000353
20071231,16.267624352286568,14.396771853520939,24.905000000000392,47.942,18.41556798663891,12.81392823105311,20.50939577671928,14.210087355774265,9.7500000000001,17.64307823381285
20080101,32.148,25.62,24.90300000000038,45.438,31.016,19.036,53.228,31.018,9.400000000000457,15.655
20080102,23.608790344292213,14.126526849646385,24.821999999999957,29.115619555335172,25.998584828550836,12.657558859981414,20.41177655455386,13.970144437854,17.074,17.39674570923352
20080103,34.699,13.996837413075662,24.82199999999996,47.588,33.105,12.709636487794631,20.360749702245194,13.924397270075017,16.333,17.272535122913464
20080104,37.458,26.704,23.815000000000364,54.695,36.826,19.943,55.248,33.236,19.074,20.729
20080107,14.57068675893193,13.163233228100093,23.33300000000033,31.962722020734702,28.0321318148423,12.779014579913465,21.750000000000046,14.623000000000236,18.64,17.135622942156907
20080108,41.321,29.033,23.068000000000303,55.398,40.194,20.679,55.917,38.938,17.368,23.034
20080109,44.207,29.368,23.17000000000024,57.205,42.585,20.679,55.917,38.938,17.967,23.369
20080110,46.585,33.109,23.0970000000003,57.463,45.58,22.18,58.115,43.754,18.739,23.794
20080111,51.773,32.373,23.092000000000386,56.885,46.545,22.35,59.856,42.863,17.802,23.893
20080114,13.94749614671235,12.973658605891043,23.010000000000492,55.012,16.837024861564647,12.983246000006163,21.60000000000013,14.860000000000403,18.104,16.37056265027716
20080115,56.212,33.947,23.010000000000492,55.23,47.344,20.771,59.64,43.577,18.706,22.483
20080116,54.009,34.617,23.865000000000133,53.009,46.405,21.106,59.305,43.577,19.508,23.823
20080117,54.725,12.762356888533317,23.317000000000284,53.017,47.791,12.89058107549002,21.750000000000046,14.715000000000531,19.541,16.826356214118835
20080118,57.258,14.000000000000298,23.4820000000002,56.606,50.923,13.85200000000036,21.500000000000213,14.71500000000053,19.033,18.225000000000065
20080121,13.334835226327447,12.861526120191904,23.48300000000041,14.372007939208356,16.805843937451776,12.813187575036793,21.500000000000213,15.468000000000346,22.173,16.19595677123171
20080122,59.05,41.603,23.483000000000406,61.819,52.682,26.681,73.179,51.197,24.178,29.35
20080123,55.577,42.438,24.333000000000098,59.74,51.486,27.62,83.697,53.042,20.5,28.624
20080124,48.671,13.193434588657524,24.3330000000001,54.146,45.232,13.092855169488471,22.030000000000182,16.72300000000009,20.244,15.998456901072785
20080125,45.826,13.62499999999994,24.9999999999999,51.212,41.585,14.025000000000121,22.53100000000003,16.725000000000133,20.612,17.643
20080128,13.52403373852063,13.496753019350967,25.150000000000073,14.256264695845571,16.365402971650788,13.62229347541443,23.432999999999947,17.69800000000009,21.678,15.881524549961727
